Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
Plot/Land,"Jamalpur Kalan, Haridwar","Jamalpur Kalan, Haridwar","Its on jamalpur to jiyapota road, very small colony 22feet wide road, family already residing, veary near to raja garden and jamalpur...And its very near to new bypass road of kankhal...",625 sqft,Plot Area,₹10 Lac,"₹1,600 /sqft",0
3 BHK,"Kankhal, Haridwar",vishnu garden gurukul kangri,"I have a house/villa available for sale in kankhal, haridwar. Available at price of rs 85 lacs. It has plot area of 1240 sq ft. It has 3 bhk, 1 bathroom, 1 balcony.It is a freehold property","1,240 sqft",Plot Area,₹85 Lac,"₹6,854 /sqft",1
Plot/Land,"Sidcul , Haridwar","Sidcul , Haridwar","We have a land available for sale in sidcul, haridwar. Available at price of rs 10 lacs. It has plot area of 800 sq ft. It is a freehold property",800 sqft,Plot Area,₹10 Lac,"₹1,250 /sqft",0
Plot/Land,"Bahadarabad, Haridwar","Bahadarabad, Haridwar","We are proud owners of land available for sale in bahadrabad, haridwar. Available at price of rs 15 lacs. It has plot area of 875 sq ft. It is a freehold property",875 sqft,Plot Area,₹15 Lac,"₹1,714 /sqft",0
2 BHK,"Sidcul , Haridwar",Mantra Happy Homes,Gated society 2 park swimming pool club house power backup temple gym internal market,"1,010 sqft",Super Built-up Area,₹31 Lac,"₹3,069 /sqft",2
2 BHK,"Bahadarabad, Haridwar",Eminent Aarogyam Apartments,"Feel nature with adhyatm and have a view get a morning sun light directly on your balcony , be the one having property on dev bhumi.","1,280 sqft",Super Built-up Area,₹64 Lac,"₹5,000 /sqft",2
2 BHK,"Shantikunj, Haridwar",nayyar appartment charanjeet villa,"We have 2bhk appartment located in very nice area. Fully furnished with all necessary items like tv, fridge, sofa , wardrobes, ac ,all necessary utensils,2 geysers, etc. Here oxygen level is so good whenever u wake up early in morning and go to balcony ,fresh cool air is coming. And chirping of birds u can listen and also u can find peace living here.","1,200 sqft",Carpet Area,₹27 Lac,"₹2,250 /sqft",2
1 BHK,"Patanjali Yogpeeth, Haridwar",Haridwar Paradise,"Fully furnished studio apartment price 22 lakh
Opposite coar college roorkee haridwar",250 sqft,Carpet Area,₹22 Lac,"₹8,800 /sqft",1
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar",Residential land available for sell.Located in suman nagar.Available at an price of rs 1500000.,"1,503 sqft",Plot Area,₹15 Lac,₹998 /sqft,0
Plot/Land,"Jagjeetpur, Haridwar","Jagjeetpur, Haridwar",Best in class property available at jagjeetpur location in haridwar,"1,500 sqft",Plot Area,₹36 Lac,"₹2,400 /sqft",0
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hero Alaknanda,"To build a splendid residence, this plot in patanjali yogpeeth, haridwar is the best fit for you. It spreads over 1360 sq.Ft. Super built up area. Possession of land can be secured immediately. The owner of the property has freehold entitlement over the land. The asking price is only 32 lac. Negotiable. This plot is facing the north-West direction. The plot location is close to school, close to...","1,360 sqft",Plot Area,₹29 Lac,"₹2,352 /sqft",0
Plot/Land,"Badheri Rajputan, Haridwar","Badheri Rajputan, Haridwar","Alice residency is itself a premium project and is located on the highway. Opposite ""crystal world water park"". Near by ""patanjali yogpeeth, haridwar food court, arogyam, core university and iit roorke"".","1,200 sqft",Plot Area,₹50.4 Lac,"₹4,199 /sqft",0
9 BHK,"Subhash Nagar, Haridwar","Subhash Nagar, Haridwar",Interested to sell independent house/villa.Placed at subhash nagar.Nice semifurnished enhancing decorit has spacious 9 bedrooms and 4 bathrooms. .Want to sell it for rs 6500000.It is a 10 years old property construction,"2,100 sqft",Plot Area,₹65 Lac,"₹3,095 /sqft",4
2 BHK,"Patanjali Yogpeeth, Haridwar",Arogyam,"Gated township, cctv, club house, 24/7 electricity and water supply, restaurant, hotel inside",950 sqft,Carpet Area,₹30 Lac,"₹3,157 /sqft",2
